Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // GLT // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // Pi // ADP // FORMATE // ATP // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // THF // PROTON // 10-FORMYL-THF // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03090'>C03090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03373'>C03373</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04640'>C04640</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04376'>C04376</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00101'>C00101</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00234'>C00234</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03838'>C03838</a>,MGI:2387203 // MGI:2684864 // MGI:95654,MGI:2387203-MONOMER // MGI:2684864-MONOMER // MGI:95654-MONOMER,phosphoribosyl pyrophosphate amidotransferase // phosphoribosylformylglycinamidine synthase (FGAR amidotransferase) // phosphoribosylglycinamide formyltransferase
PWY3DJ-12,ceramide biosynthesis,CARBON-DIOXIDE // SER // PALMITYL-COA // DEHYDROSPHINGANINE // NADPH // PROTON // NADP // CO-A // DIHYDRO-SPHINGOSINE // Fatty-Acyl-CoA // SPHINGOSINE-CERAMIDES // CPD3DJ-82,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00154'>C00154</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02934'>C02934</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00836'>C00836</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02843'>C02843</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00195'>C00195</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12126'>C12126</a>,MGI:2444678 // MGI:108074 // MGI:1099431 // MGI:1918000 // MGI:1919199 // MGI:2136690 // MGI:1924143 // MGI:2681008 // MGI:1914510 // MGI:2442564 // MGI:1917309,CPLX3DJ-41 // MGI:1918000-MONOMER // MGI:1919199-MONOMER // MGI:2136690-MONOMER // MGI:1924143-MONOMER // MGI:2681008-MONOMER // MGI:1914510-MONOMER // MGI:2442564-MONOMER // MGI:1917309-MONOMER,"serine palmitoyltransferase // 3-ketodihydrosphingosine reductase // LAG1 homolog, ceramide synthase 5 // LAG1 homolog, ceramide synthase 1 // LAG1 homolog, ceramide synthase 2 // LAG1 homolog, ceramide synthase 3 // LAG1 homolog, ceramide synthase 4 // LAG1 homolog, ceramide synthase 6 // degenerative spermatocyte homolog 2 (Drosophila), lipid desaturase"
PWY-6351,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis",CPD-1108 // CMP // L-1-phosphatidyl-inositols // CDPDIACYLGLYCEROL // MYO-INOSITOL // INOSITOL-1-4-5-TRISPHOSPHATE // DIACYLGLYCEROL // WATER // ADP // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01277'>C01277</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01194'>C01194</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00137'>C00137</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01245'>C01245</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00641'>C00641</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04637'>C04637</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11557'>C11557</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:107929 // MGI:1298224 // MGI:107930 // MGI:1334433 // MGI:1914323 // MGI:1934031 // MGI:2448506 // MGI:105491 // MGI:97615 // MGI:107465 // MGI:97613 // MGI:97614 // MGI:1921305 // MGI:104778 // MGI:107469 // MGI:2443078 // MGI:2683547 // MGI:107451 // MGI:97616 // MGI:2150308 // MGI:1298206 // MGI:2152214 // MGI:1934234,MGI:107929-MONOMER // MGI:1298224-MONOMER // MGI:107930-MONOMER // MGI:1334433-MONOMER // MGI:1914323-MONOMER // MGI:1934031-MONOMER // MGI:2448506-MONOMER // MGI:105491-MONOMER // MGI:97615-MONOMER // MGI:107465-MONOMER // MGI:97613-MONOMER // MGI:97614-MONOMER // MGI:1921305-MONOMER // MGI:104778-MONOMER // MGI:107469-MONOMER // MGI:2443078-MONOMER // MGI:2683547-MONOMER // MGI:107451-MONOMER // MGI:97616-MONOMER // MGI:2150308-MONOMER // MGI:1298206-MONOMER // MGI:2152214-MONOMER // MGI:1934234-MONOMER,"phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha // phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma // phosphatidylinositol-4-phosphate 5-kinase, type 1 beta // phosphatidylinositol 4-kinase, catalytic, beta polypeptide // phosphatidylinositol 4-kinase type 2 beta // phosphatidylinositol 4-kinase type 2 alpha // phosphatidylinositol 4-kinase, catalytic, alpha polypeptide // CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase) // phospholipase C, gamma 1 // phospholipase C, beta 2 // phospholipase C, beta 1 // phospholipase C, delta 1 // phospholipase C, epsilon 1 // phospholipase C, beta 3 // phospholipase C, delta 4 // phospholipase C, eta 2 // phospholipase C, eta 1 // phospholipase C, delta 3 // phospholipase C, gamma 2 // phospholipase C, zeta 1 // phosphatidylinositol-5-phosphate 4-kinase, type II, alpha // phosphatidylinositol-5-phosphate 4-kinase, type II, gamma // phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // GAP // XYLULOSE-5-PHOSPHATE // RIBULOSE-5P // RIBOSE-5P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00085'>C00085</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00279'>C00279</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00281'>C00281</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00661'>C00661</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00231'>C00231</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00199'>C00199</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00117'>C00117</a>,MGI:1274789 // MGI:105992 // MGI:1921669 // MGI:1933244 // MGI:1913896 // MGI:103254,MGI:1274789-MONOMER // MGI:105992-MONOMER // MGI:1921669-MONOMER // MGI:1933244-MONOMER // MGI:1913896-MONOMER // MGI:103254-MONOMER,transaldolase 1 // transketolase // transketolase-like 2 // transketolase-like 1 // ribulose-5-phosphate-3-epimerase // ribose 5-phosphate isomerase A
TYRFUMCAT-PWY,tyrosine degradation I,GLT // TYR // 2-KETOGLUTARATE // CARBON-DIOXIDE // P-HYDROXY-PHENYLPYRUVATE // OXYGEN-MOLECULE // HOMOGENTISATE // 4-MALEYL-ACETOACETATE // 3-KETOBUTYRATE // FUM // PROTON // WATER // 4-FUMARYL-ACETOACETATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00082'>C00082</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01179'>C01179</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00544'>C00544</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01036'>C01036</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00164'>C00164</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01061'>C01061</a>,MGI:98487 // MGI:96213 // MGI:96078 // MGI:1341859 // MGI:95482 // MGI:1915886 // MGI:1915376,MGI:98487-MONOMER // MGI:96213-MONOMER // MGI:96078-MONOMER // MGI:1341859-MONOMER // MGI:95482-MONOMER // MGI:1915886-MONOMER // MGI:1915376-MONOMER,"tyrosine aminotransferase // 4-hydroxyphenylpyruvic acid dioxygenase // homogentisate 1, 2-dioxygenase // glutathione transferase zeta 1 (maleylacetoacetate isomerase) // fumarylacetoacetate hydrolase // fumarylacetoacetate hydrolase domain containing 1 // fumarylacetoacetate hydrolase domain containing 2A"
PWY-6358,"superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism",ADP // PROTON // ATP // INOSITOL-1-3-4-TRIPHOSPHATE // CPD-506 // INOSITOL-1-4-BISPHOSPHATE // INOSITOL-1-4-5-TRISPHOSPHATE // Pi // MYO-INOSITOL // D-MYO-INOSITOL-4-PHOSPHATE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01243'>C01243</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01272'>C01272</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01220'>C01220</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01245'>C01245</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00137'>C00137</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03546'>C03546</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:109235 // MGI:1333822 // MGI:2442554 // MGI:1336159 // MGI:104848 // MGI:1194899 // MGI:103257 // MGI:2686961 // MGI:107357 // MGI:2141867 // MGI:2158663,MGI:109235-MONOMER // MGI:1333822-MONOMER // MGI:2442554-MONOMER // MGI:1336159-MONOMER // MGI:104848-MONOMER // MGI:1194899-MONOMER // MGI:103257-MONOMER // MGI:2686961-MONOMER // MGI:107357-MONOMER // MGI:2141867-MONOMER // MGI:2158663-MONOMER,"inositol 1,4,5-trisphosphate 3-kinase B // inositol 1,4,5-trisphosphate 3-kinase A // inositol 1,4,5-trisphosphate 3-kinase C // multiple inositol polyphosphate histidine phosphatase 1 // inositol polyphosphate-1-phosphatase // inositol polyphosphate 5-phosphatase K // inositol polyphosphate-5-phosphatase B // inositol polyphosphate-5-phosphatase A // inositol polyphosphate-5-phosphatase D // inositol polyphosphate-5-phosphatase F // inositol polyphosphate 5-phosphatase J"
PWY-5695,urate biosynthesis/inosine 5'-phosphate degradation,IMP // XANTHOSINE-5-PHOSPHATE // RIBOSE-1P // XANTHOSINE // Pi // PROTON // NADH // URATE // XANTHINE // NAD // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00130'>C00130</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00655'>C00655</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01762'>C01762</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00366'>C00366</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00385'>C00385</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:96567 // MGI:109367 // MGI:1915356 // MGI:3513266 // MGI:2442446 // MGI:2155700 // MGI:1917127 // MGI:1354954 // MGI:1321386 // MGI:2178563 // MGI:1917271 // MGI:1918131 // MGI:99782 // MGI:1927186 // MGI:97365 // MGI:3712328 // MGI:98973,MGI:96567-MONOMER // MGI:109367-MONOMER // MGI:1915356-MONOMER // MGI:3513266-MONOMER // MGI:2442446-MONOMER // MGI:2155700-MONOMER // MGI:1917127-MONOMER // MGI:1354954-MONOMER // MGI:1321386-MONOMER // MGI:2178563-MONOMER // MGI:1917271-MONOMER // MGI:1918131-MONOMER // MGI:99782-MONOMER // MGI:1927186-MONOMER // MGI:97365-MONOMER // MGI:3712328-MONOMER // CPLX3DJ-117,"inosine 5'-phosphate dehydrogenase 1 // inosine 5'-phosphate dehydrogenase 2 // 5'-nucleotidase, cytosolic III-like // 5'-nucleotidase domain containing 3 // 5'-nucleotidase domain containing 1 // 5'-nucleotidase, cytosolic IA // 5',3'-nucleotidase, mitochondrial // 5',3'-nucleotidase, cytosolic // ectonucleoside triphosphate diphosphohydrolase 3 // 5'-nucleotidase, cytosolic II // 5'-nucleotidase domain containing 2 // 5'-nucleotidase, cytosolic IB // 5' nucleotidase, ecto // 5'-nucleotidase, cytosolic III // purine-nucleoside phosphorylase 1 // purine-nucleoside phosphorylase 2 // xanthine dehydrogenase"
PWY-6517,<i>N</i>-acetylglucosamine degradation II,FRUCTOSE-6P // AMMONIA // ACET // D-GLUCOSAMINE-6-P // WATER // ADP // PROTON // N-ACETYL-D-GLUCOSAMINE-6-P // N-ACETYL-D-GLUCOSAMINE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00085'>C00085</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00352'>C00352</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00357'>C00357</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03878'>C03878</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:1860418 // MGI:1915230 // MGI:1347054 // MGI:2443978,MGI:1860418-MONOMER // MGI:1915230-MONOMER // MGI:1347054-MONOMER // MGI:2443978-MONOMER,N-acetylglucosamine kinase // glucosamine-6-phosphate deaminase 2 // glucosamine-6-phosphate deaminase 1 // amidohydrolase domain containing 2
PWY-5143,fatty acid activation,AMP // PPI // Fatty-Acyl-CoA // Fatty-Acids // CO-A // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02843'>C02843</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00162'>C00162</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:2444086 // MGI:2681844 // MGI:99538 // MGI:2385289 // MGI:2152200 // MGI:1921455 // MGI:2385656 // MGI:894291 // MGI:1919129 // MGI:1354713 // MGI:3587728,MGI:2444086-MONOMER // MGI:2681844-MONOMER // MGI:99538-MONOMER // MGI:2385289-MONOMER // MGI:2152200-MONOMER // MGI:1921455-MONOMER // MGI:2385656-MONOMER // MGI:894291-MONOMER // MGI:1919129-MONOMER // MGI:1354713-MONOMER // MGI:3587728-MONOMER,acyl-CoA synthetase medium-chain family member 5 // acyl-CoA synthetase medium-chain family member 4 // acyl-CoA synthetase medium-chain family member 3 // acyl-CoA synthetase medium-chain family member 2 // acyl-CoA synthetase medium-chain family member 1 // acyl-CoA synthetase long-chain family member 3 // acyl-CoA synthetase bubblegum family member 1 // acyl-CoA synthetase long-chain family member 6 // acyl-CoA synthetase long-chain family member 5 // acyl-CoA synthetase long-chain family member 4 // acyl-CoA synthetase bubblegum family member 2
PWY6666-2,dopamine degradation,HYDROGEN-PEROXIDE // AMMONIA // OXYGEN-MOLECULE // NADH // 34-DIHYDROXYPHENYLACETALDEHYDE // NAD // WATER // CPD-7651 // CPD-782 // CPD-7650 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-7649 // PROTON // 3-5-ADP // DOPAMINE // PAPS,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04043'>C04043</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05582'>C05582</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01161'>C01161</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05587'>C05587</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13690'>C13690</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00054'>C00054</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03758'>C03758</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00053'>C00053</a>,MGI:96916 // MGI:96915 // MGI:99600 // MGI:1347050 // MGI:88470 // MGI:1916406 // MGI:3769724 // MGI:102896,MGI:96916-MONOMER // MGI:96915-MONOMER // MGI:99600-MONOMER // MGI:1347050-MONOMER // MGI:88470-MONOMER // MGI:1916406-MONOMER // MGI:3769724-MONOMER // MGI:102896-MONOMER,"amine oxidase activity // monoamine oxidase A // aldehyde dehydrogenase 2, mitochondrial // aldehyde dehydrogenase family 1, subfamily A7 // catechol-O-methyltransferase 1 // catechol-O-methyltransferase domain containing 1 // transmembrane O-methyltransferase // sulfotransferase family 1A, phenol-preferring, member 1"
PWY-5661,GDP-glucose biosynthesis,ADP // GLC // ATP // GLC-6-P // ALPHA-GLC-6-P // PPI // GDP-D-GLUCOSE // PROTON // GLC-1-P // GTP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00221'>C00221</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01172'>C01172</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00668'>C00668</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00394'>C00394</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00103'>C00103</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c00044'>c00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a>,MGI:1270854 // MGI:97564 // MGI:1918224 // MGI:97565 // MGI:97566 // MGI:1925668,MGI:1270854-MONOMER // MGI:97564-MONOMER // MGI:1918224-MONOMER // MGI:97565-MONOMER // MGI:97566-MONOMER // MGI:1925668-MONOMER,glucokinase // phosphoglucomutase 1 // phosphoglucomutase 2-like 1 // phosphoglucomutase 2 // phosphoglucomutase 3 // phosphoglucomutase 5
PWY-5084,2-ketoglutarate dehydrogenase complex,CARBON-DIOXIDE // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CO-A // SUC-COA // PROTON // NADH // Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,MGI:1098267 // MGI:2445096 // MGI:1926170 // MGI:107450,MGI:1098267-MONOMER // MGI:2445096-MONOMER // MGI:1926170-MONOMER // MGI:107450-MONOMER,oxoglutarate dehydrogenase (lipoamide) // dehydrogenase E1 and transketolase domain containing 1 // dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) // dihydrolipoamide dehydrogenase
PWY-3561,choline biosynthesis III,PPI // PHOSPHORYL-CHOLINE // CTP // CHOLINE // L-PHOSPHATIDATE // WATER // PROTON // CMP // PHOSPHATIDYLCHOLINE // DIACYLGLYCEROL // CDP-CHOLINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00588'>C00588</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00114'>C00114</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00416'>C00416</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00157'>C00157</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00641'>C00641</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00307'>C00307</a>,MGI:88557 // MGI:2147987 // MGI:109585 // MGI:892877 // MGI:1333782 // MGI:2144765 // MGI:2687283 // MGI:2139793 // MGI:2384841,MGI:88557-MONOMER // MGI:2147987-MONOMER // MGI:109585-MONOMER // MGI:892877-MONOMER // MGI:1333782-MONOMER // MGI:2144765-MONOMER // MGI:2687283-MONOMER // MGI:2139793-MONOMER // MGI:2384841-MONOMER,"phosphate cytidylyltransferase 1, choline, alpha isoform // phosphate cytidylyltransferase 1, choline, beta isoform // phospholipase D1 // phospholipase D2 // phospholipase D family, member 3 // phospholipase D family, member 4 // phospholipase D family, member 6 // choline/ethanolaminephosphotransferase 1 // choline phosphotransferase 1"
