Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY0-1317,L-lactaldehyde degradation (aerobic),E- // NADH // PROTON // WATER // NAD // LACTALD // PYRUVATE // ETR-Quinols // ETR-Quinones // L-LACTATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00424'>C00424</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00186'>C00186</a>,EG10035 // EG11963,ALD-CPLX // L-LACTDEHYDROGFMN-MONOMER,"aldehyde dehydrogenase A, NAD-linked // L-lactate dehydrogenase"
TRESYN-PWY,trehalose biosynthesis I,UDP // PROTON // CPD-12575 // D-glucopyranose-6-phosphate // Pi // TREHALOSE // TREHALOSE-6P // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01083'>C01083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00689'>C00689</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,EG11751 // EG10727 // EG11752,TREHALOSE6PSYN-MONOMER // ALKAPHOSPHA-CPLX // TREHALOSEPHOSPHASYN-MONOMER,alkaline phosphatase
PWY-7892,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>),Cysteine-Desulfurase-L-cysteine // L-Cysteine-Desulfurase-persulfide // GLYOX // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // tRNA-Containing-5AminoMe-2-ThioUrdines // AMP // tRNA-uridine34 // ATP // TusD-Persulfides // TusD-L-cysteine // Donor-H2 // PROTON // DIHYDROFOLATE-GLU-N // GDP // tRNA-containing-5-CarbMeAminome-2-ThioU // tRNA-2-thiouridine34 // GTP // METHYLENE-THF-GLU-N // GLY // Acceptor // PPI // GERANYL-PP // tRNA-Containing-5MeAminoMe-2-ThioU // CPD-22373 // SEPO3 // mnm5GeS2U // Pi // Mnm5Se2U-containing-tRNAs // mnm5SeP2U // WATER // TusE-L-cysteine // MnmA-Sulfanyl-Cysteine // TusE-S-sulfanylcysteine // MnmA-Cysteine // TusA-Persulfides // L-ALPHA-ALANINE // CYS // TusA-L-cysteine,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00048'>C00048</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11478'>C11478</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00035'>C00035</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17323'>C17323</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00341'>C00341</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C22269'>C22269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00097'>C00097</a>,G7199 // EG11344 // G7714 // G7713 // G7712 // EG12216 // EG10375 // EG10997 // EG11768 // EG12876 // G7325,G7199-MONOMER // EG11344-MONOMER // CPLX-3942 // EG12216-MONOMER // CPLX0-7609 // EG11768-MONOMER // EG12876-MONOMER // CPLX0-248,fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase // tRNA-specific 2-thiouridylase // sulfurtransferase complex TusBCD // sulfurtransferase TusA // sulfur transfer protein TusE // cysteine desulfurase IscS
PWY0-1554,5-(methoxycarbonylmethoxy)uridine biosynthesis,WATER // CPD-15403 // PHENYL-PYRUVATE // PREPHENATE // 5-oxyacetylU34-tRNA // 5-HYDROXYU34-TRNA // tRNA-uridine34 // OXYGEN-MOLECULE // PROTON // ADENOSYL-HOMO-CYS // mcmo5U34m-tRNA // S-ADENOSYLMETHIONINE // 5-methoxycarbonylmethoxyU34-tRNA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00166'>C00166</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00254'>C00254</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a>,G7021 // G7020 // EG12167 // EG11116 // EG11888,CPLX0-8190 // CPLX0-8010 // CPLX0-11245 // EG11116-MONOMER // CPLX0-7421,tRNA U34 hydroxylase TrhO // tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase
MANNCAT-PWY,D-mannose degradation I,FRUCTOSE-6P // Hpr-Histidine // CPD-15979 // Hpr-pi-phospho-L-histidines // D-mannopyranose,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05345'>C05345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04261'>C04261</a>,EG10566 // EG10567 // EG10568 // EG10569,MANNPISOM-MONOMER // CPLX-165,mannose-specific PTS enzyme II
PWY0-1509,NtrBC Two-Component Regulatory System,ADP // ATP // GLNL-CPLX // GLNG-CPLX // PROTEIN-NRIIP // PROTEIN-NRIP // CPLX0-8566,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,EG10387 // EG10385,,
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AMMONIA // CARBAMATE // CPD-18238 // AMP // PPI // L-ASPARTATE // FUM // ARG // L-ARGININO-SUCCINATE // L-CITRULLINE // CARBAMOYL-P // GLN // HCO3 // CO-A // ACETYL-COA // ADP // ACETYL-GLU // ATP // NADPH // N-ACETYL-GLUTAMYL-P // PROTON // NADP // Pi // GLT // CPD-469 // 2-KETOGLUTARATE // ACET // L-ORNITHINE // N-ALPHA-ACETYLORNITHINE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01563'>C01563</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20969'>C20969</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03406'>C03406</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00327'>C00327</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00169'>C00169</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00288'>C00288</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00624'>C00624</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04133'>C04133</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01250'>C01250</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00077'>C00077</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00437'>C00437</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,EG10068 // EG11223 // EG10069 // EG10067 // EG10134 // EG10135 // EG10063 // EG10064 // EG10065 // EG10066 // EG10361 // EG11286,CPLX0-238 // ARGSUCCINLYA-MONOMER // ORNCARBAMTRANSFERI-CPLX // ORNCARBAMTRANSFERF-CPLX // CARBPSYN-CPLX // N-ACETYLTRANSFER-CPLX // ACETYLGLUTKIN-CPLX // N-ACETYLGLUTPREDUCT-MONOMER // ACETYLORNTRANSAM-CPLX // GABATRANSAM-CPLX // ACETYLORNDEACET-CPLX,"ornithine carbamoyltransferase // carbamoyl-phosphate synthetase, glutamine-hydrolyzing // <i>N</i>-acetylglutamate synthase // acetylglutamate kinase // <i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase // 4-aminobutyrate aminotransferase GabT"
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,WATER // PROTON // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADPH // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // NADP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01236'>C01236</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00199'>C00199</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00345'>C00345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a>,G6397 // EG11221 // EG10411,6PGLUCONOLACT-MONOMER // GLU6PDEHYDROG-MONOMER // 6PGLUCONDEHYDROG-CPLX,
BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,5-METHYLTHIOADENOSINE // SPERMIDINE // PUTRESCINE // S-ADENOSYLMETHIONINAMINE // CARBON-DIOXIDE // S-ADENOSYLMETHIONINE // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00170'>C00170</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00315'>C00315</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01137'>C01137</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,EG10963 // EG10962,SPERMIDINESYN-CPLX // SAMDECARB-CPLX,spermidine synthase
PWY-6268,adenosylcobalamin salvage from cobalamin,P3I // ATP // CPD-20905 // CPD-20904 // Reduced-Flavoproteins // CPD-1829 // COB-I-ALAMIN // Oxidized-Flavoproteins // PROTON // Corrinoid-Adenosyltransferases // ADENOSYLCOBALAMIN // B12-Corrinoid-Adenosyltranferase,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00536'>C00536</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00541'>C00541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00853'>C00853</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00194'>C00194</a>,EG10130,COBALADENOSYLTRANS-MONOMER,cobinamide/cobalamin adenosyltransferase
PWY0-163,salvage pathways of pyrimidine ribonucleotides,PRPP // PPI // CTP // RIBOSE-1P // Pi // URACIL // AMMONIUM // WATER // CYTOSINE // UMP // URIDINE // GDP // PROTON // CYTIDINE // GTP // CDP // ADP // ATP // CMP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00106'>C00106</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00380'>C00380</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00105'>C00105</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00299'>C00299</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00035'>C00035</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00475'>C00475</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00112'>C00112</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a>,EG11332 // EG10650 // EG10032 // EG11045 // EG12159 // EG10137 // EG11326 // EG11701 // EG11265,URACIL-PRIBOSYLTRANS-CPLX // NUCLEOSIDE-DIP-KIN-CPLX // ADENYL-KIN-MONOMER // URPHOS-CPLX // CPLX0-8619 // CYTIDEAM-CPLX // CPLX0-7932 // UDK-MONOMER // CMPKI-MONOMER,nucleoside diphosphate kinase // adenylate kinase // nucleoside phosphorylase PpnP // cytidine/deoxycytidine deaminase // cytosine/isoguanine deaminase // uridine/cytidine kinase // cytidylate kinase
GLYCEROLMETAB-PWY,glycerol degradation V,Hpr-Histidine // Hpr-pi-phospho-L-histidines // PROTON // NADH // GLYCEROL // NAD // PYRUVATE // DIHYDROXY-ACETONE-PHOSPHATE // DIHYDROXYACETONE // PHOSPHO-ENOL-PYRUVATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04261'>C04261</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00116'>C00116</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00111'>C00111</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00184'>C00184</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00074'>C00074</a>,EG11904 // EG12399 // G6626 // G6627,GLYCDEH-CPLX // CPLX0-2081,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase // dihydroxyacetone kinase"
PWY-6703,preQ<sub>0</sub> biosynthesis,FORMATE // GTP // P3I // ACETALD // DIHYDRONEOPTERIN-P3 // CPD0-1699 // WATER // Pi // ADP // 7-CYANO-7-DEAZAGUANINE // PROTON // CPD-13043 // AMMONIUM // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00536'>C00536</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04895'>C04895</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20239'>C20239</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15996'>C15996</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20248'>C20248</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,EG11375 // G7431 // G7443 // G6245,FOLE-CPLX // CPLX0-8123 // G7443-MONOMER // G6245-MONOMER,"GTP cyclohydrolase 1 // 6-carboxy-5,6,7,8-tetrahydropterin synthase // putative 7-carboxy-7-deazaguanine synthase QueE // 7-cyano-7-deazaguanine synthase"
COLANSYN-PWY,colanic acid building blocks biosynthesis,Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // CPD-14553 // GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE // NADPH // GDP-4-DEHYDRO-6-L-DEOXYGALACTOSE // CPD-13118 // NADP // ALPHA-GLC-6-P // FRUCTOSE-6P // CPD-15979 // GDP-MANNOSE // MANNOSE-1P // GTP // PPI // UTP // D-glucopyranose-6-phosphate // GLC-1-P // UDP-GLUCURONATE // NADH // PROTON // CPD-12575 // WATER // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01231'>C01231</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00052'>C00052</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01222'>C01222</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14830'>C14830</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00325'>C00325</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00668'>C00668</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05345'>C05345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00096'>C00096</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00636'>C00636</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00075'>C00075</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00167'>C00167</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,EG11787 // EG11788 // G7463 // EG10702 // EG10566 // EG10162 // EG10161 // EG11319 // EG12144 // EG10362 // G7091,GDPMANDEHYDRA-CPLX // CPLX0-3881 // CPLX-8401 // CPLX0-7877 // MANNPISOM-MONOMER // PHOSMANMUT-MONOMER // MANNPGUANYLTRANGDP-MONOMER // CPLX0-8205 // PHOSPHOGLUCMUT-MONOMER // UDPGLUCEPIM-CPLX // CPLX0-8098,5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase
PWY0-1585,formate to nitrite electron transfer,E- // CARBON-DIOXIDE // FORMATE // Menaquinones // Menaquinols // an-oxidized-NrfB-protein // WATER // AMMONIUM // a-reduced-NrfB-protein // NITRITE // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00828'>C00828</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05819'>C05819</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00088'>C00088</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,EG11227 // EG11228 // EG11229 // EG11856 // EG11857 // EG11858 // EG11946 // EG11947 // EG11781,FORMATEDEHYDROGN-CPLX // FORMATEDEHYDROGO-CPLX // CPLX0-8238 // CYTOCHROMEC552-MONOMER,formate dehydrogenase O // putative menaquinol-cytochrome <i>c</i> reductase NrfCD // cytochrome <i>c</i><sub>552</sub> nitrite reductase
PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis III (<i>E. coli</i>),PPI // CTP // CO-A // ACYL-COA // DIHYDROXY-ACETONE-PHOSPHATE // NADH-P-OR-NOP // NAD-P-OR-NOP // Pi // WATER // GLYCEROL // L-1-PHOSPHATIDYL-GLYCEROL-P // CMP // CDPDIACYLGLYCEROL // SER // CARBON-DIOXIDE // L-1-PHOSPHATIDYL-SERINE // PROTON // L-PHOSPHATIDATE // ACP // ACYL-SN-GLYCEROL-3P // GLYCEROL-3P // ACYL-ACP // ETHANOL-AMINE // CARDIOLIPIN // L-1-PHOSPHATIDYL-GLYCEROL // L-1-PHOSPHATIDYL-ETHANOLAMINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00040'>C00040</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00111'>C00111</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00116'>C00116</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03892'>C03892</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02737'>C02737</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00416'>C00416</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00229'>C00229</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00681'>C00681</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00189'>C00189</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05980'>C05980</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00344'>C00344</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00350'>C00350</a>,EG11608 // G6406 // EG10781 // EG10775 // EG20091 // EG11833 // EG11377 // EG10139 // EG10740 // EG10706 // EG10704 // EG10705 // EG11371 // G6551 // EG50003,CARDIOLIPSYN-MONOMER // G6406-MONOMER // CPLX0-12524 // PHOSPHASERDECARB-DIMER // GLYC3PDEHYDROGBIOSYN-CPLX // EG11833-MONOMER // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER // CDPDIGLYSYN-MONOMER // GLYCEROL-3-P-ACYLTRANSFER-MONOMER // PHOSPHAGLYPSYN-MONOMER // PGPPHOSPHAA-MONOMER // PGPPHOSPHAB-MONOMER // EG11371-MONOMER // G6551-MONOMER,"cardiolipin synthase A // cardiolipin synthase B // phosphatidylserine synthase // phosphatidylserine decarboxylase // glycerol-3-phosphate dehydrogenase, biosynthetic // 1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG // 1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC // CDP-diglyceride synthetase // glycerol-3-phosphate 1-<i>O</i>-acyltransferase // CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase // phosphatidylglycerophosphatase A // phosphatidylglycerophosphatase B // phosphatidylglycerophosphatase C // cardiolipin synthase C"
