Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-7980,ATP biosynthesis,PROTON // Pi // ADP // ATP // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS07800 // HS16043 // HS03358 // HS13091 // HS01175 // HS09257 // HS01900 // HS04727 // HS08368 // HS08003 // HS09535 // HS08550 // HS09866 // HS09654 // HS00024 // HS00025 // HS04013 // HS08371 // HS05994 // HS07984 // HS03781 // HS07429 // HS08030 // HS02107 // HS05489 // HS05192 // HS06241 // HS00586 // HS00493 // HS08417 // G66-37869 // HS04129 // HS03712,CPLX66-565 // CPLX66-295,FoF<sub>1</sub> ATP synthase // H<sup>+</sup>-translocating V-ATPase V<sub>1</sub>V<sub>0</sub> complex
BETA-ALA-DEGRADATION-I-PWY,&beta;-alanine degradation,GLT // 2-KETOGLUTARATE // B-ALANINE // NADH // CARBON-DIOXIDE // ACETYL-COA // MALONATE-S-ALD // CO-A // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00099'>C00099</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00222'>C00222</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,HS02477 // HS04328,CPLX-6886 // CPLX66-484,4-aminobutyrate aminotransferase // methylmalonate-semialdehyde dehydrogenase [acylating]
PWY-6061,"bile acid biosynthesis, neutral pathway",CHOLESTEROL // CPD-266 // Ox-NADPH-Hemoprotein-Reductases // Red-NADPH-Hemoprotein-Reductases // CPD-7237 // CPD-10503 // 5-BETA-CHOLESTANE-3-ALPHA7-ALPHA12-ALP // 5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL // 3-ALPHA7-ALPHA12-ALPHA-TRIHYDROX // CPD-1836 // CPD-71 // CPD-10505 // CPD-7243 // CPD-7275 // GLYCOCHOLIC_ACID // CPD-3743 // NADPH // CPD-1087 // NADP // NADH-P-OR-NOP // CPD-10548 // NAD-P-OR-NOP // CPD-7238 // CPD-10586 // Oxidized-adrenal-ferredoxins // CPD-10587 // Reduced-adrenal-ferredoxins // OXYGEN-MOLECULE // PPI // AMP // ATP // CPD-1834 // CPD-72 // Donor-H2 // CPD-10588 // Acceptor // CPD-10589 // WATER // NADH // CPD-10590 // NAD // CPD-10591 // GLYCOCHENODEOXYCHOLIC_ACID // GLY // CPD-7283 // PROTON // CPD-10556 // TAURINE // CPD-7257 // CO-A // CPD-202 // PROPIONYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00187'>C00187</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03594'>C03594</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17339'>C17339</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05453'>C05453</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05454'>C05454</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05446'>C05446</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01301'>C01301</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15613'>C15613</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17343'>C17343</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05460'>C05460</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05450'>C05450</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01921'>C01921</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05122'>C05122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05455'>C05455</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05451'>C05451</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05452'>C05452</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c05444'>c05444</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c05445'>c05445</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04554'>C04554</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c17345'>c17345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17346'>C17346</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c05447'>c05447</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c05448'>c05448</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c05449'>c05449</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05466'>C05466</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05465'>C05465</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05337'>C05337</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00245'>C00245</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05467'>C05467</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01794'>C01794</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00100'>C00100</a>,HS05140 // HS09659 // HS01893 // HS11491 // HS01451 // HS06695 // HS09732 // HS04603 // HS06088 // HS01416 // HS06239,CPLX-8461 // HS01893-MONOMER // HS11491-MONOMER // HS01451-MONOMER // HS06695-MONOMER // HS09732-MONOMER // HS04603-MONOMER // HS06088-MONOMER // HS01416-MONOMER // HS06239-MONOMER,"cholesterol 7&alpha;-monooxygenase // 3 beta-hydroxysteroid dehydrogenase type 7 // 7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase // Bile acyl-CoA synthetase // very long-chain acyl-CoA synthetase // peroxisomal acyl-coenzyme A oxidase 2 // 3-oxo-5-beta-steroid 4-dehydrogenase // sterol 26-hydroxylase, mitochondrial // &alpha;-methylacyl-CoA racemase // Bile acid-CoA:amino acid N-acyltransferase"
PWY0-1264,biotin-carboxyl carrier protein assembly,BIO-5-AMP // AMP // PPI // BCCP-L-lysine // BIOTIN // BCCP-biotin-L-lysine // PROTON // ADP // Pi // HCO3 // ATP // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05921'>C05921</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00120'>C00120</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00288'>C00288</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,HS08386 // HS01211 // HS05598,HS08386-MONOMER // CPLX66-455 // CPLX66-454,Biotin--[acetyl-CoA-carboxylase] ligase // acetyl-CoA carboxylase 2 // acetyl-CoA carboxylase 1
PWY66-432,blood coagulation - tissue factor pathway,Factor-VII // Tissue-Factor // TF-Factor-VIIa // TF-Factor-VII // Factor-IX // Factor-X-Factor-V-Complex // Peptide-Holder-Alternative // Thrombins // Peptides-holder // Prothrombins // Fibrinopeptide-B // Fibrinopeptide-A // Fibrin // Fibrinogen // Factor-Va // Factor-V // Factor-VIII // Tenase // Factor-IXa // Factor-VIIIa // Factor-Xa // WATER // Factor-X,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS05500 // HS01617 // HS00709 // HS04145 // HS11470 // HS10341 // HS10344 // HS10342 // G66-30677 // HS02329 // G66-46104 // HS05000,CPLX66-1727 // CPLX66-1737 // CPLX66-1729 // CPLX66-1734 // CPLX66-1723 // CPLX66-1735,coagulation factor XIIa // [tissue factor]-[coagulation factor VIIa] complex // coagluation factor XIa // prothrombinase // thrombin // [factor IX]-[factor XIII] complex
PWY66-11,BMP Signalling Pathway,ADP // CPLX66-190 // ATP // CPLX66-191 // CPLX66-188 // CPLX66-189 // CPLX66-187 // BMP-ligand-trap // CPLX66-186 // ENSG00000141646-MONOMER // CPLX66-197 // R-SMAD // CPLX66-202 // CPLX66-201 // ENSG00000157933-MONOMER // CPLX66-200 // ENSG00000039319-MONOMER // Phospho-R-Smad // CPLX66-198 // CPLX66-199 // CPLX66-195 // I-SMAD // SMURF,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,HS12471 // HS07475 // HS08848 // HS17584 // HS04421 // HS03708 // HS10112 // HS06859 // HS08255 // HS00541 // HS04953 // HS06407 // HS02297 // HS03173,CPLX66-194 // CPLX66-188,Modified BMP type I receptor dimer // BMP type II receptor dimer
PWY66-241,bupropion degradation,CPD-3484 // Ox-NADPH-Hemoprotein-Reductases // CPD-3483 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // Donor-H2 // CPD-3482 // Acceptor // CPD-3481 // WATER // CPD-3487 // CPD-3486 // GLY,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06860'>C06860</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a>,HS08023 // HS09588 // HS11946 // HS09587 // HS10343,HS08023-MONOMER // HS09588-MONOMER // HS11946-MONOMER // HS09587-MONOMER // HS10343-MONOMER,Cytochrome P450 2U1 // cytochrome P450 2S1 // Cytochrome P450 4X1 // cytochrome P450 2B6 // cytochrome P450 2A6
PWY66-374,C20 prostanoid biosynthesis,CPD-17980 // Acceptor // OXYGEN-MOLECULE // Donor-H2 // ARACHIDONIC_ACID // ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA // Ox-Thioredoxin // Red-Thioredoxin // PROSTAGLANDIN-H2 // HYDROXY-915-DIOXOPROSTA-13-ENOATE // NADH-P-OR-NOP // NAD-P-OR-NOP // ALPHA-HYDROXY-915-DIOXOPROSTANOATE // 5Z13E-69-ALPHA-EPOXY-11-ALPHA-HYDROXPROS // 5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA // 5Z13E-9-ALPHA-HYDROXY-1115-DIOXOPROS // 5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O // CPD-22745 // NADPH // 5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY // NADP // WATER // 5Z13E-15S-1115-DIHYDROXY-9-OXOPROS // PROTON // NADH // CPD-24261 // NAD // CPD-21228 // CPD-24162 // CPD-24163,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05956'>C05956</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02198'>C02198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00427'>C00427</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04707'>C04707</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04671'>C04671</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04835'>C04835</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01312'>C01312</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04758'>C04758</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00696'>C00696</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00639'>C00639</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00584'>C00584</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05954'>C05954</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05955'>C05955</a>,HS01115 // HS01815 // HS04738 // HS08788 // HS02989 // HS07518 // HS03359 // HS07514 // HS00728 // HS02959 // HS06681 // HS03054 // HS08378 // HS09021,CPLX-9723 // CPLX-9722 // HS04738-MONOMER // HS08788-MONOMER // HS02989-MONOMER // HS07518-MONOMER // HS03359-MONOMER // HS07514-MONOMER // HS00728-MONOMER // HS02959-MONOMER // HS06681-MONOMER // HS03054-MONOMER // HS08378-MONOMER // CPLX-9620,prostaglandin G/H synthase 2 // prostaglandin G/H synthase 1 // prostacyclin synthase // hematopoietic prostaglandin D synthase // prostaglandin-D2 synthase // prostaglandin E synthase // prostaglandin E synthase 3 // prostaglandin E synthase 2 truncated form // thromboxane-A synthase // Prostaglandin reductase 1 // prostaglandin reductase 2 // aldo-keto reductase family 1 member C3 // carbonyl reductase [NADPH] 1 // 15-hydroxyprostaglandin dehydrogenase [NAD+]
PWY-7926,carbon disulfide oxidation III (metazoa),Ox-NADPH-Hemoprotein-Reductases // CPD-844 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // Elemental-Sulfur // CPD-8042 // CPD-20499 // HS // CARBON-DIOXIDE // CARBONYL-SULFIDE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19033'>C19033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00087'>C00087</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00283'>C00283</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07331'>C07331</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS05414,HS05414-MONOMER,cytochrome P450 2E1
PWY-6032,cardenolide biosynthesis,CPD-293 // 3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE // PROGESTERONE // NADPH // CPD-5962 // NADP // CPD-5961 // CPD-22587 // CARBON-DIOXIDE // PROTON // CPD-22599 // CO-A // CPD-22598 // MALONYL-COA // CPD-22588 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-22576 // CPD-10537 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03681'>C03681</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15484'>C15484</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00410'>C00410</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05479'>C05479</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11825'>C11825</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a>,HS07261 // HS00619,HS07261-MONOMER // HS00619-MONOMER,3-oxo-5&alpha;-steroid 4-dehydrogenase 1 // 3-oxo-5&alpha;-steroid 4-dehydrogenase 2
PWY-5269,cardiolipin biosynthesis,GLYCEROL-3P // Pi // L-1-PHOSPHATIDYL-GLYCEROL-P // WATER // PROTON // CMP // CARDIOLIPIN // CDPDIACYLGLYCEROL // L-1-PHOSPHATIDYL-GLYCEROL,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03892'>C03892</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05980'>C05980</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00344'>C00344</a>,HS01560 // HS03319 // HS01606,HS01560-MONOMER // HS03319-MONOMER // HS01606-MONOMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase // phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 // cardiolipin synthetase
PWY66-420,carnosine biosynthesis,Pi // ADP // CARNOSINE // PROTON // B-ALANINE // HIS // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00386'>C00386</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00099'>C00099</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00135'>C00135</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G66-37895,CPLX66-491,carnosine synthase 1
PWY66-301,catecholamine biosynthesis,CARBON-DIOXIDE // 4a-Hydroxytetrahydrobiopterins // L-DIHYDROXY-PHENYLALANINE // TYR // TETRA-H-BIOPTERIN // WATER // CPD-318 // DOPAMINE // OXYGEN-MOLECULE // ASCORBATE // L-EPINEPHRINE // ADENOSYL-HOMO-CYS // PROTON // S-ADENOSYLMETHIONINE // NOREPINEPHRINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00355'>C00355</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00082'>C00082</a> //  // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01041'>C01041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03758'>C03758</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00072'>C00072</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00788'>C00788</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00547'>C00547</a>,HS05635 // HS11459 // HS11700 // HS06868,CPLX-7890 // CPLX66-161 // CPLX66-141 // HS06868-MONOMER,aromatic L-amino acid decarboxylase // tyrosine hydroxylase // dopamine &beta;-monooxygenase // phenylethanolamine <i>N</i>-methyltransferase
PWY-5667,CDP-diacylglycerol biosynthesis,PPI // CDPDIACYLGLYCEROL // CTP // L-PHOSPHATIDATE // CO-A // ACYL-SN-GLYCEROL-3P // ACYL-COA // PROTON // NADH-P-OR-NOP // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P // NAD-P-OR-NOP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00416'>C00416</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00681'>C00681</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00040'>C00040</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00111'>C00111</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a>,HS02232 // HS08895 // HS09762 // HS00452 // HS08034 // HS09990 // HS08470 // HS00306 // HS13986 // HS10599 // HS16664 // HS12746 // HS16061 // HS04897 // HS04350 // HS06534 // HS08315 // G66-32105,HS02232-MONOMER // HS08895-MONOMER // HS09762-MONOMER // HS00452-MONOMER // HS08034-MONOMER // HS09990-MONOMER // HS08470-MONOMER // HS00306-MONOMER // HS13986-MONOMER // HS10599-MONOMER // HS16664-MONOMER // HS12746-MONOMER // ENSG00000172197-MONOMER // ENSG00000125505-MONOMER // 57678-MONOMER // HS06534-MONOMER // HS08315-MONOMER // G66-32105-MONOMER,phosphatidate cytidylyltransferase 2 // phosphatidate cytidylyltransferase 1 // 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha // 1-acyl-sn-glycerol-3-phosphate acyltransferase delta // 1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon // 1-acyl-sn-glycerol-3-phosphate acyltransferase beta // 1-acyl-sn-glycerol-3-phosphate acyltransferase gamma // 1-acylglycerol-3-phosphate O-acyltransferase ABHD5 // lysophospholipid acyltransferase 2 // lysocardiolipin acyltransferase 1 // Lysophosphatidylcholine acyltransferase 4 // Lysophospholipid acyltransferase 5 // Lysophospholipid acyltransferase 1 // lysophospholipid acyltransferase 7 // glycerol 3-phosphate acyltransferase 1 // glycerol-3-phosphate acyltransferase 3 // glycerol-3-phosphate acyltransferase 4 // glycerol-3-phosphate acyltransferase 2
PWY3DJ-12,ceramide <i>de novo</i> biosynthesis,CARBON-DIOXIDE // SER // PALMITYL-COA // DEHYDROSPHINGANINE // NADPH // NADP // CO-A // ACYL-COA // CPD-13612 // WATER // FERRICYTOCHROME-B5 // N-Acylsphingosine // CPD3DJ-82 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00154'>C00154</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02934'>C02934</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00040'>C00040</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00195'>C00195</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12126'>C12126</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,HS02117 // G66-37871 // HS01673 // HS16070 // HS04306 // G66-37868 // HS07099,CPLX66-305 // CPLX66-304 // HS04306-MONOMER // MONOMER66-34367 // ENSG00000143753-MONOMER,serine palmitoyltransferase IA // serine palmitoyltransferase IIA // 3-ketodihydrosphingosine reductase // ceramide synthase 1 // sphingolipid 4-desaturase 1
