Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PPGPPMET-PWY,ppGpp biosynthesis,Pi // PROTON // GUANOSINE-5DP-3DP // AMP // PPI // GDP-TP // WATER // ADP // GTP // GDP // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01228'>C01228</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04494'>C04494</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00035'>C00035</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-5566 // G1G01-1754 // G1G01-5659 // G1G01-924,G1G01-5566-MONOMER // G1G01-1754-MONOMER // G1G01-5659-MONOMER // G1G01-924-MONOMER,exopolyphosphatase // ATP:GTP 3'-pyrophosphotransferase // bifunctional (p)ppGpp synthase/hydrolase // nucleoside diphosphate kinase
MANNIDEG-PWY,mannitol degradation I,NADH // FRUCTOSE-6P // PROTON // MANNITOL-1P // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05345'>C05345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00644'>C00644</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-2189,G1G01-2189-MONOMER,bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase
PWY1G01-3,1-butanol degradation,PROT-CYS // Protein-S-Acetyl-Cysteines // PPI // AMP // ATP // BUTYRIC_ACID // OXYGEN-MOLECULE // Cytochromes-C550-Red // BUTANAL // BUTANOL // Cytochromes-C550-Ox // ETF-Reduced // BUTYRYL-COA // ETF-Oxidized // CROTONYL-COA // WATER // PROTON // NADH // S-3-HYDROXYBUTANOYL-COA // NAD // CO-A // ACETOACETYL-COA // ACETYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02743'>C02743</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00246'>C00246</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01412'>C01412</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06142'>C06142</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00136'>C00136</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04253'>C04253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00877'>C00877</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01144'>C01144</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00332'>C00332</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,G1G01-3790 // G1G01-4789 // G1G01-595 // G1G01-2861 // G1G01-2855 // G1G01-2860 // G1G01-2003 // G1G01-2358 // G1G01-2277 // G1G01-2355 // G1G01-4008 // G1G01-4949 // G1G01-4007 // G1G01-2356,G1G01-3790-MONOMER // G1G01-4789-MONOMER // G1G01-595-MONOMER // G1G01-2861-MONOMER // G1G01-2855-MONOMER // G1G01-2860-MONOMER // G1G01-2003-MONOMER // G1G01-2358-MONOMER // CPLX-9268 // G1G01-2355-MONOMER // G1G01-4008-MONOMER // G1G01-4949-MONOMER // G1G01-4007-MONOMER // G1G01-2356-MONOMER,"acyl-CoA synthetase // aldehyde dehydrogenase // Ca<sup>2+</sup>-dependent quinoprotein alcohol dehydrogenase // lanthanide-dependent quinoprotein ethanol dehydrogenase // medium-long chain acyl-CoA dehydrogenase // enoyl-CoA hydratase // fatty acid oxidation complex, &alpha; component // type II 3-hydroxyacyl-CoA dehydrogenase // 3-hydroxybutyryl-CoA dehydrogenase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB"
QUINATEDEG-PWY,quinate degradation I,Reduced-Quinones // QUINATE // Quinones // 3-4-DIHYDROXYBENZOATE // 3-DEHYDRO-SHIKIMATE // WATER // DEHYDROQUINATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15603'>C15603</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00296'>C00296</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15602'>C15602</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00230'>C00230</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02637'>C02637</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00944'>C00944</a>,G1G01-3806 // G1G01-2737 // G1G01-3186 // G1G01-2570 // G1G01-610,G1G01-3806-MONOMER // G1G01-2737-MONOMER // G1G01-3186-MONOMER // G1G01-2570-MONOMER // G1G01-610-MONOMER,quinate dehydrogenase // 3-dehydroshikimate dehydratase // type II 3-dehydroquinate dehydratase
PWY-5669,phosphatidylserine and phosphatidylethanolamine biosynthesis I,CMP // CDPDIACYLGLYCEROL // SER // CARBON-DIOXIDE // L-1-PHOSPHATIDYL-ETHANOLAMINE // L-1-PHOSPHATIDYL-SERINE // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00350'>C00350</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02737'>C02737</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,G1G01-3902 // G1G01-4995 // G1G01-5250,G1G01-3902-MONOMER // G1G01-4995-MONOMER // G1G01-5250-MONOMER,CDP-diacylglycerol--serine O-phosphatidyltransferase // phosphatidylserine decarboxylase
PWY-5028,L-histidine degradation II,HIS // UROCANATE // 4-IMIDAZOLONE-5-PROPIONATE // AMMONIUM // N-FORMIMINO-L-GLUTAMATE // FORMATE // GLT // WATER // CPD-600,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00135'>C00135</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00785'>C00785</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03680'>C03680</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00439'>C00439</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01045'>C01045</a>,G1G01-5377 // G1G01-5378 // G1G01-5375 // G1G01-5381 // G1G01-5374,G1G01-5377-MONOMER // G1G01-5378-MONOMER // G1G01-5375-MONOMER // G1G01-5381-MONOMER // G1G01-5374-MONOMER,histidine ammonia-lyase // urocanate hydratase // imidazolonepropionase // formiminoglutamate deiminase // N-formylglutamate deformylase
PWY-5785,"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",PPI // FARNESYL-PP // DELTA3-ISOPENTENYL-PP // Pi // CPD-9646 // PROTON // UNDECAPRENYL-DIPHOSPHATE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00448'>C00448</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00129'>C00129</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17556'>C17556</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04574'>C04574</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-1692 // G1G01-3041,G1G01-1692-MONOMER // G1G01-3041-MONOMER,"(2E,6E)-farnesyl-diphosphate specific ditrans,polycis-undecaprenyl-diphosphate synthase // undecaprenyl-diphosphatase"
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,WATER // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // PROTON // NADPH // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00199'>C00199</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00345'>C00345</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01236'>C01236</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00092'>C00092</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a>,G1G01-1096 // G1G01-4308 // G1G01-5707 // G1G01-4307 // G1G01-1095,G1G01-1096-MONOMER // G1G01-4308-MONOMER // G1G01-5707-MONOMER // G1G01-4307-MONOMER // G1G01-1095-MONOMER,6-phosphogluconolactonase // 6-phosphogluconate dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase
PWY0-1319,CDP-diacylglycerol biosynthesis II,PPI // CDPDIACYLGLYCEROL // CTP // PROTON // NADH-P-OR-NOP // DIHYDROXY-ACETONE-PHOSPHATE // NAD-P-OR-NOP // L-PHOSPHATIDATE // ACP // ACYL-SN-GLYCEROL-3P // ACYL-ACP // GLYCEROL-3P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00269'>C00269</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00111'>C00111</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00416'>C00416</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00229'>C00229</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00681'>C00681</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a>,G1G01-1693 // G1G01-4436 // G1G01-1949 // G1G01-61 // G1G01-1611 // G1G01-428,G1G01-1693-MONOMER // G1G01-4436-MONOMER // G1G01-1949-MONOMER // G1G01-61-MONOMER // G1G01-1611-MONOMER // G1G01-428-MONOMER,CTP:phosphatidate cytidyltransferase // glycerol-3-phosphate dehydrogenase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase
PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // GLT // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // Pi // ADP // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // PROTON // FORMATE // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03090'>C03090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03373'>C03373</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04640'>C04640</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04376'>C04376</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03838'>C03838</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-2130 // G1G01-5160 // G1G01-1110 // G1G01-1763 // G1G01-1549,G1G01-2130-MONOMER // G1G01-5160-MONOMER // G1G01-1110-MONOMER // G1G01-1763-MONOMER // G1G01-1549-MONOMER,amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase // phosphoribosylglycinamide formyltransferase
